iter	RMSE
0	0.9568711077
1	0.9253189676
2	0.8985890605
3	0.8707707153
4	0.8515659657
5	0.8305231073
6	0.8164833325
7	0.8038574297
8	0.7897639691
9	0.7784945561
10	0.7688425544
11	0.7617893105
12	0.7543828641
13	0.7487481607
14	0.7426314157
15	0.7386099732
16	0.7339040011
17	0.7300630437
18	0.7264584142
19	0.7232022678
20	0.7201626916
21	0.7165659211
22	0.7142588537
23	0.7121580907
24	0.7108185028
25	0.708994395
26	0.7081454966
27	0.7066482377
28	0.7043847843
29	0.7033569974
30	0.7025169902
31	0.7013851874
32	0.7005237245
33	0.7000567397
34	0.699094879
35	0.6982775926
36	0.6974150588
37	0.696747658
38	0.6958753042
39	0.6947285346
40	0.69449507
41	0.6939674379
42	0.6931015274
43	0.6922142677
44	0.6916665665
45	0.6915750675
46	0.6906164177
47	0.6900198324
48	0.689408039
49	0.6891699373
50	0.6885911685
51	0.6881593263
52	0.6877977545
53	0.6872795544
54	0.6871654559
55	0.6869000571
56	0.6864555421
57	0.6861872104
58	0.6856902709
59	0.6856197919
60	0.6854666414
61	0.6847988292
62	0.6844960548
63	0.6840291091
64	0.6838047888
65	0.6837129143
66	0.6835282083
67	0.6832754118
68	0.6830877478
69	0.6829474689
70	0.682694508
71	0.6824284603
72	0.6822594943
73	0.6821740704
74	0.6819579984
75	0.6817121703
76	0.6812761955
77	0.6811072798
78	0.6808492299
79	0.6807466915
80	0.6804466861
81	0.6803320384
82	0.6801365395
83	0.6799246358
84	0.679774671
85	0.6791704237
86	0.679065911
87	0.6787950116
88	0.678291027
89	0.6779899477
90	0.6778285708
91	0.6776418647
92	0.6774973443
93	0.6773820617
94	0.6771131009
95	0.6769899611
96	0.6767665187
97	0.67663731
98	0.6765277908
99	0.6763933646
100	0.6762835651
101	0.6760467088
102	0.6758172418
103	0.6757620668
104	0.675418741
105	0.6752310798
106	0.6751423219
107	0.67493631
108	0.6748867483
109	0.6748055388
110	0.6747078396
111	0.6746252967
112	0.6745293235
113	0.6745214937
114	0.6743640115
115	0.6741944155
116	0.6740680017
117	0.6739719203
118	0.6739082023
119	0.6737544466
120	0.6735833196
121	0.6734278514
122	0.673288583
123	0.6732258731
124	0.6731095468
125	0.6730033475
126	0.6728991559
127	0.6728392665
128	0.6727686831
129	0.6726785063
130	0.6725803702
131	0.6724671904
132	0.6723637531
133	0.6723006413
134	0.6722104997
135	0.6721302924
136	0.6720499628
137	0.6720052623
138	0.6719357443
139	0.6718110652
140	0.6717785859
141	0.6717494916
142	0.6716667583
143	0.6715612457
144	0.6714303323
145	0.6713612712
146	0.6712504676
147	0.6711879833
148	0.6711275696
149	0.6709536993
150	0.6709244218
151	0.6708163525
152	0.6707637172
153	0.6707369618
154	0.6704995699
155	0.6704551008
156	0.6704239312
157	0.670380613
158	0.6703397847
159	0.6702515392
160	0.6700466845
161	0.669980767
162	0.6699123888
163	0.6698302027
164	0.6697795473
165	0.6697476719
166	0.6695931869
167	0.6695098893
168	0.6693783136
169	0.6693419603
170	0.6692602326
171	0.669213657
172	0.6691536384
173	0.6690667081
174	0.6689741968
175	0.6689067037
176	0.6688197261
177	0.6687921503
178	0.6686370372
179	0.6686015544
180	0.6685658034
181	0.6685487641
182	0.6684292439
183	0.6683997569
184	0.6683761307
185	0.6683505988
186	0.6682829442
187	0.6682477576
188	0.6681845681
189	0.6681335307
190	0.668095783
191	0.6680345571
192	0.6679652078
193	0.6679268644
194	0.6678989342
195	0.667855091
196	0.6677697745
197	0.6677259367
198	0.6676686269
199	0.6676043026
200	0.6675688849
201	0.6674993388
202	0.6674102381
203	0.667375842
204	0.667316952
205	0.6672405676
206	0.66721796
207	0.667186915
208	0.6671295942
209	0.667093619
210	0.6670323841
211	0.6669992679
212	0.6668332466
213	0.6667771257
214	0.6667651884
215	0.6667503583
216	0.666726737
217	0.6666846605
218	0.6665588783
219	0.6665171496
220	0.6664984543
221	0.6664520642
222	0.6664036628
223	0.6663704846
224	0.6663224586
225	0.6662807524
226	0.6662314409
227	0.6661940086
228	0.6661768917
229	0.6661012996
230	0.6660795788
231	0.6660305885
232	0.6660048474
233	0.6659598289
234	0.6659127583
235	0.6658901829
236	0.6658552551
237	0.6658140557
238	0.6657823946
239	0.665720863
240	0.6657066598
241	0.6656646564
242	0.6656378388
243	0.6655709873
244	0.6655617167
245	0.6655197454
246	0.6654493107
247	0.6654185876
248	0.6653998111
249	0.6653551521
250	0.6653391679
251	0.6653242961
252	0.6652644998
253	0.6652122999
254	0.6651212627
255	0.6650830533
256	0.6650526912
257	0.665008503
258	0.6649917518
259	0.6649635413
260	0.6649432213
261	0.6649294103
262	0.6649220646
263	0.6648892582
264	0.6648780524
265	0.6648356555
266	0.6648176737
267	0.6647802042
268	0.6647621683
269	0.6647362879
270	0.6647099792
271	0.6647011444
272	0.664669374
273	0.6646390276
274	0.6646122986
275	0.6645830046
276	0.664579113
277	0.6645249237
278	0.6644826783
279	0.6644587722
280	0.664409676
281	0.6643976783
282	0.6643634201
283	0.6643446872
284	0.6643282579
285	0.6643059761
286	0.664284748
287	0.6642699411
288	0.6642150373
289	0.6642054333
290	0.6641658967
291	0.6641161192
292	0.6640685459
293	0.6640395172
294	0.6640068231
295	0.6639820055
296	0.6639633221
297	0.6639215226
298	0.6639016942
299	0.6638755851
300	0.6638643084
301	0.663833667
302	0.6638206841
303	0.6637925129
304	0.6637744096
305	0.6637562128
306	0.663732445
307	0.6636314877
308	0.6636248492
309	0.6635951178
310	0.6635612913
311	0.6634924942
312	0.6634602022
313	0.6634324334
314	0.6634254981
315	0.6634017462
316	0.6633945265
317	0.6633890144
318	0.6633744814
319	0.6633535671
320	0.6633236405
321	0.6633130422
322	0.6632940025
323	0.66327597
324	0.6632610447
325	0.6632463295
326	0.663206012
327	0.6631867658
328	0.6631716787
329	0.663157709
330	0.6631458381
331	0.6631410327
332	0.6631286625
333	0.6631167635
334	0.6631012864
335	0.6630795393
336	0.6630446975
337	0.6630229114
338	0.6630072639
339	0.6629893405
340	0.6629675017
341	0.6629649985
342	0.6629487677
343	0.662942607
344	0.6629258894
345	0.6629219707
346	0.6629126272
347	0.6628936664
348	0.6628641076
349	0.6628295439
350	0.6628171186
351	0.6628021074
352	0.6627951426
353	0.6627731646
354	0.6627679966
355	0.662758767
356	0.6627340724
357	0.662726079
358	0.6627125906
359	0.6626977389
360	0.6626749533
361	0.6626682095
362	0.662664227
363	0.6626558755
364	0.6626420031
