iter	Passed	Remaining
0	156	1565639
1	167	838254
2	177	589979
3	187	468179
4	198	396338
5	209	349476
6	220	315150
7	230	288465
8	241	268039
9	252	252164
10	262	238708
11	271	226278
12	282	216662
13	292	208793
14	303	202234
15	314	196277
16	325	191167
17	335	186271
18	346	182099
19	357	178445
20	367	174682
21	377	171033
22	384	166886
23	393	163398
24	403	161141
25	416	159710
26	427	157811
27	437	155873
28	449	154627
29	459	152565
30	469	150891
31	479	149440
32	490	148036
33	500	146625
34	510	145425
35	521	144290
36	531	143138
37	542	142177
38	552	141148
39	563	140246
40	572	139118
41	581	137822
42	588	136178
43	596	134930
44	605	133979
45	615	133201
46	627	132826
47	637	132113
48	648	131729
49	659	131206
50	670	130748
51	680	130185
52	690	129517
53	701	129206
54	710	128418
55	719	127796
56	730	127346
57	740	127002
58	751	126685
59	760	125998
60	765	124788
61	774	124139
62	781	123194
63	788	122453
64	798	122037
65	807	121477
66	816	121011
67	826	120729
68	836	120347
69	843	119708
70	851	119053
71	860	118701
72	872	118651
73	884	118578
74	894	118423
75	906	118340
76	918	118393
77	928	118155
78	940	118128
79	951	118016
80	962	117838
81	973	117750
82	983	117562
83	993	117300
84	1002	116968
85	1012	116681
86	1024	116771
87	1030	116063
88	1042	116111
89	1051	115727
90	1061	115564
91	1072	115530
92	1083	115466
93	1095	115406
94	1105	115252
95	1115	115065
96	1125	114916
97	1136	114865
98	1147	114723
99	1153	114164
100	1164	114123
101	1175	114053
102	1185	113871
103	1192	113437
104	1200	113116
105	1209	112899
106	1221	112917
107	1233	112980
108	1244	112907
109	1255	112898
110	1266	112813
111	1277	112759
112	1287	112691
113	1298	112599
114	1309	112565
115	1320	112495
116	1330	112419
117	1341	112378
118	1352	112296
119	1364	112312
120	1375	112286
121	1383	112042
122	1391	111771
123	1398	111366
124	1450	114562
125	1473	115447
126	1481	115165
127	1489	114860
128	1495	114430
129	1508	114505
130	1516	114245
131	1526	114100
132	1538	114140
133	1549	114121
134	1561	114090
135	1574	114163
136	1585	114137
137	1593	113870
138	1602	113697
139	1610	113438
140	1621	113378
141	1632	113310
142	1642	113239
